States/UTs,Residence_Dacoity_Cases reported,Residence_Dacoity_Value of property stolen,Highways_Dacoity_Cases reported,Highways_Dacoity_Value of property stolen,CommEst_Dacoity_Cases reported,OtherPlaces_Dacoity_Cases reported,Total_Dacoity_Cases reported
Andhra Pradesh,27,7983001,25,11356187,2,18,75
Arunachal Pradesh,3,67500,2,160000,2,5,12
Assam,144,10693775,25,517160,24,69,267
Bihar,174,27725940,213,59028180,12,118,538
Chhattisgarh,27,3076170,5,154300,2,24,58
Goa,3,1862000,2,250000,1,7,13
Gujarat,125,33262196,52,45397801,20,94,296
Haryana,20,3483000,72,46294820,18,60,172
Jharkhand,110,15476050,74,13239620,4,43,244
Karnataka,64,25732549,69,32650322,12,138,292
Kerala,19,2898150,23,3040000,2,27,71
Madhya Pradesh,35,4628600,25,17081355,1,38,105
Maharashtra,161,71764877,178,139901618,46,492,885
Meghalaya,10,14634060,26,2781780,11,9,56
Mizoram,1,13910,1,22300,9,6,8
Nagaland,7,6740000,1,750000,9,64,8
Odisha,113,28504235,85,28624691,27,253,484
Punjab,8,2923100,5,2027000,2,17,32
Rajasthan,11,6761000,12,13377700,10,30,64
Tamil Nadu,45,15784570,23,36409097,8,24,101
Telangana,30,6467900,11,5094422,2,16,59
Uttar Pradesh,121,65083000,76,115454074,9,63,294
West Bengal,56,8794050,23,13047800,7,47,139
Delhi UT,14,1851930,41,125037795,5,21,82
Puducherry,1,200000,2,252000,9,64,3
Total (All India),1348,372535064,1073,712570222,228,1633,4395
