id,States,Total_Crime
1,Andaman and Nicobar ,22673
2,Andhra Pradesh,6358
3,Arunachal Pradesh,573
4,Assam,12074
5,Bihar,16855
6,Chandigarh,401
7,Chhattisgarh,6176
8,Dadra and Nagar Haveli,40
9,Daman and Diu ,34
10,Goa,470
11,Rajasthan,18879
12,Gujarat,7043
13,Haryana,8510
14,Himachal Pradesh,1108
15,Jammu and Kashmir     ,1869
16,Jharkhand,6223
17,Karnataka,9101
18,Delhi,19015
19,Lakshadweep,100
20,Maharashtra,27861
21,Madhya Pradesh,22673
22,Meghalaya,771
23,Mizoram,282
24,Nagaland,286
25,Manipur,501
26, Orissa,10664
27,Puducherry,100
28,Punjab,4090
29,Sikkim,161
30,Tamil Nadu,7628
31,Kerala,4511
32,Telangana,5987
33,Tripura,771
34,Uttar Pradesh,1624
35,Uttaranchal,586
36,West Bengal,17293
